cohort,population,dimension,label,relevance_correlation
closed,all moves,logicalCoherence,Logical coherence,-0.007571543460233203
closed,all moves,evidenceWarrant,Evidence and warrant,0.033565353966228846
closed,all moves,responsiveness,Responsiveness,0.1554185196195336
closed,all moves,relevanceBurden,Relevance and burden,1.0
closed,all moves,precisionClarity,Precision and clarity,-0.014506718162008284
closed,all moves,calibrationCharity,Calibration and charity,-0.03723938001734758
closed,repeated-speaker moves,logicalCoherence,Logical coherence,0.01836706080333009
closed,repeated-speaker moves,evidenceWarrant,Evidence and warrant,0.07576322130990594
closed,repeated-speaker moves,responsiveness,Responsiveness,0.17631752227754133
closed,repeated-speaker moves,relevanceBurden,Relevance and burden,1.0
closed,repeated-speaker moves,precisionClarity,Precision and clarity,0.01133122470139392
closed,repeated-speaker moves,calibrationCharity,Calibration and charity,-0.023430648948896588
standalone,all moves,logicalCoherence,Logical coherence,0.7021387024311987
standalone,all moves,evidenceWarrant,Evidence and warrant,0.650613171639158
standalone,all moves,responsiveness,Responsiveness,0.7806614442910611
standalone,all moves,relevanceBurden,Relevance and burden,0.9999999999999999
standalone,all moves,precisionClarity,Precision and clarity,0.5810902107223425
standalone,all moves,calibrationCharity,Calibration and charity,0.40488626271072614
standalone,repeated-speaker moves,logicalCoherence,Logical coherence,0.6851291384648129
standalone,repeated-speaker moves,evidenceWarrant,Evidence and warrant,0.6439706753857434
standalone,repeated-speaker moves,responsiveness,Responsiveness,0.7845109790035748
standalone,repeated-speaker moves,relevanceBurden,Relevance and burden,1.0
standalone,repeated-speaker moves,precisionClarity,Precision and clarity,0.5545050418123038
standalone,repeated-speaker moves,calibrationCharity,Calibration and charity,0.3695189597018107
