dimension,label,cohort,mean,sd,n_moves
logicalCoherence,Logical coherence,closed,80.19894829097284,8.736039480326637,3423
logicalCoherence,Logical coherence,standalone,77.9307992202729,8.361589692749344,1026
evidenceWarrant,Evidence and warrant,closed,71.57843996494303,9.331054729760591,3423
evidenceWarrant,Evidence and warrant,standalone,67.8859649122807,9.738816369947024,1026
responsiveness,Responsiveness,closed,87.59100204498978,13.578778554058516,3423
responsiveness,Responsiveness,standalone,83.20175438596492,7.307412664271558,1026
relevanceBurden,Relevance and burden,closed,84.28483786152498,9.03459943077935,3423
relevanceBurden,Relevance and burden,standalone,81.49707602339181,6.603656875167464,1026
precisionClarity,Precision and clarity,closed,85.30966988022203,9.915212587565797,3423
precisionClarity,Precision and clarity,standalone,81.14912280701755,6.297826509358359,1026
calibrationCharity,Calibration and charity,closed,78.52264095822377,11.5847195166179,3423
calibrationCharity,Calibration and charity,standalone,77.62573099415205,11.24139912747408,1026
