speaker,closed_mean,standalone_mean,difference,closed_debates,standalone_debates
Ross Douthat,82.0,69.0,-13.0,2,1
Antony Flew,86.0,77.0,-9.0,1,1
Ben Watkins,86.0,78.0,-8.0,1,2
Alister McGrath,80.0,72.5,-7.5,1,2
Eric Hernandez,74.0,68.0,-6.0,1,1
Dinesh D'Souza,76.4,71.0,-5.400000000000006,5,1
Peter Singer,86.0,81.0,-5.0,1,1
Josh Rasmussen,81.5,77.0,-4.5,4,1
Trent Horn,79.0,74.66666666666667,-4.333333333333329,3,3
John Lennox,78.0,74.0,-4.0,7,2
Matt Dillahunty,86.36,82.5,-3.8599999999999994,25,2
Stephen Woodford,81.6,78.0,-3.5999999999999943,5,1
Michael Huemer,83.0,79.5,-3.5,5,2
William Lane Craig,79.9047619047619,76.66666666666667,-3.2380952380952266,21,3
Ayaan Hirsi Ali,74.0,71.0,-3.0,1,1
Francis Collins,79.0,76.0,-3.0,1,1
Michael Shermer,82.0,79.0,-3.0,4,2
Richard Dawkins,83.0,80.5,-2.5,2,4
Alex O'Connor,85.95238095238095,83.8,-2.152380952380952,21,5
Jonathan Pageau,76.0,74.0,-2.0,1,1
Max Baker-Hytch,84.0,82.0,-2.0,1,1
Bart Ehrman,86.1,85.0,-1.0999999999999943,10,1
Richard Carrier,80.6,80.0,-0.5999999999999943,5,1
Bernardo Kastrup,83.0,82.5,-0.5,1,2
Joe Schmid,88.5,88.0,-0.5,2,1
Jordan Peterson,75.0,74.5,-0.5,3,2
James White,79.0,80.0,1.0,1,1
Tom Jump,79.0,80.0,1.0,2,1
Sam Harris,80.6,83.0,2.4000000000000057,5,1
Michael Jones,74.77777777777777,78.0,3.2222222222222285,9,1
Tyler Vela,76.0,83.0,7.0,1,1
