label,lower,upper,mean_side_score,side_scores,debates,generation
1-25,1,25,80.25,48,24,closed
26-50,26,50,81.86363636363636,44,22,closed
51-75,51,75,81.47916666666667,48,24,closed
76-100,76,100,82.04545454545455,44,22,closed
101-125,101,125,80.72727272727273,44,22,closed
126-150,126,150,81.5625,48,24,closed
151-175,151,175,80.25,44,22,closed
176-195,176,195,82.65789473684211,38,19,closed
196-205,196,205,75.9,20,10,standalone
206-215,206,215,79.5,20,10,standalone
216-225,216,225,78.55,20,10,standalone
226-228,226,228,80.0,6,3,standalone
