speaker,rank,n,mean,sd,earlier_n,later_n,empirical_mean_ci,empirical_rank_ci,model_mean,model_rank_ci,model_top10,leave_one_out,paired_resample_rank_ci,generation_centered_rank
Joseph Schmid,1,6,87.33333333333333,1.632993161855452,2,4,"[86.16666666666667, 88.5]","[1.0, 5.0]",86.77336125718337,"[1.0, 9.0]",0.9919,"[1.0, 2.0]","[1.0, 5.0]",1.0
Alex Malpass,2,6,87.16666666666667,4.875106836436169,6,0,"[83.5, 90.5]","[1.0, 12.0]",86.62161407627245,"[1.0, 9.0]",0.98825,"[1.0, 3.0]","[1.0, 11.0]",3.0
Scott Clifton,3,4,86.75,2.6299556396765835,3,1,"[84.25, 88.5]","[1.0, 10.0]",86.02099818268097,"[1.0, 12.0]",0.9339,"[1.0, 4.5]","[1.0, 9.0]",2.0
Joe Folley,4,6,86.16666666666667,1.9407902170679514,4,2,"[84.83333333333333, 87.66666666666667]","[1.5, 9.0]",85.71113099080695,"[1.0, 12.0]",0.93665,"[4.0, 6.0]","[2.0, 9.0]",4.0
Sean Carroll,5,3,86.0,3.4641016151377544,3,0,"[84.0, 90.0]","[1.0, 12.0]",85.19117145548452,"[1.0, 17.0]",0.7974,"[3.0, 10.0]","[1.0, 11.0]",7.0
Matt Dillahunty,6,28,85.92857142857143,2.6517439604430195,25,3,"[84.96428571428571, 86.89285714285714]","[2.0, 9.0]",85.82848422511762,"[2.0, 9.0]",0.99735,"[5.0, 6.0]","[3.0, 9.0]",5.0
Alex O'Connor,7,28,85.46428571428571,2.8865222296061708,21,7,"[84.39285714285714, 86.5]","[3.0, 10.0]",85.37377832384215,"[2.0, 10.0]",0.98565,"[7.0, 8.0]","[3.0, 10.0]",6.0
Bart Ehrman,8,12,85.41666666666667,2.7784342658585555,10,2,"[83.83333333333333, 86.75]","[3.0, 11.0]",85.21336835279324,"[2.0, 12.0]",0.9317,"[5.5, 8.0]","[3.0, 11.0]",9.0
Lance Bush,9,5,84.8,3.420526275297414,3,2,"[82.4, 87.6]","[2.0, 16.0]",84.40719742373463,"[2.0, 18.0]",0.66435,"[7.0, 11.0]","[2.0, 14.0]",8.0
Graham Oppy,10,12,84.08333333333333,2.539088359425425,10,2,"[82.66666666666667, 85.41666666666667]","[7.0, 15.0]",83.9425092109113,"[5.0, 16.0]",0.52585,"[10.0, 11.0]","[7.0, 14.0]",11.0
Stephen Law,11,4,83.75,3.4034296427770228,3,1,"[81.0, 86.5]","[3.0, 22.5]",83.40656683982199,"[4.0, 24.0]",0.3621,"[10.0, 14.0]","[4.0, 20.0]",12.0
Daniel Dennett,12,6,83.16666666666667,3.311595788538611,6,0,"[80.83333333333333, 85.66666666666667]","[7.0, 23.5]",82.97968173441048,"[7.0, 24.0]",0.213,"[11.0, 14.0]","[7.0, 23.0]",16.0
Max Baker-Hytch,13,3,83.0,1.0,1,2,"[82.0, 84.0]","[10.0, 17.5]",82.68414359757972,"[5.0, 30.0]",0.2114,"[12.0, 14.0]","[11.0, 17.0]",10.0
Michael Ruse,14,3,83.0,1.7320508075688772,3,0,"[82.0, 85.0]","[9.0, 19.0]",82.68414359757972,"[5.0, 30.0]",0.21605,"[12.0, 14.5]","[9.0, 18.0]",17.0
Michael Huemer,15,7,82.0,4.0,5,2,"[79.28571428571429, 84.71428571428571]","[9.0, 31.0]",81.92832755891736,"[10.0, 29.0]",0.0403,"[14.0, 20.5]","[9.0, 30.0]",18.0
Bernardo Kastrup,16,5,81.8,1.3038404810405297,1,4,"[80.8, 82.8]","[14.0, 24.5]",81.72379023375548,"[10.0, 31.0]",0.04385,"[15.0, 18.0]","[14.0, 24.0]",13.0
Christopher Hitchens,17,11,81.72727272727273,2.0538212722098823,11,0,"[80.63636363636364, 82.9090909090909]","[13.0, 25.0]",81.6942178337828,"[12.0, 28.0]",0.0091,"[15.5, 19.0]","[13.0, 25.0]",22.0
Philip Goff,18,5,81.6,1.9493588689617927,2,3,"[80.2, 83.2]","[13.0, 28.0]",81.54489642109019,"[10.0, 32.0]",0.03545,"[15.0, 20.5]","[13.0, 27.0]",15.0
Richard Dawkins,19,7,81.42857142857143,3.644957377763735,2,5,"[78.85714285714286, 83.85714285714286]","[11.0, 32.0]",81.401311965822,"[11.0, 31.0]",0.0133,"[15.0, 23.5]","[12.0, 32.0]",14.0
Sam Harris,20,7,81.0,2.3804761428476167,5,2,"[79.28571428571429, 82.57142857142857]","[15.0, 31.0]",81.0060502710005,"[12.0, 33.0]",0.0055,"[18.0, 25.0]","[15.0, 31.0]",21.0
Michael Shermer,21,6,81.0,3.1622776601683795,4,2,"[78.83333333333333, 83.33333333333333]","[12.0, 33.0]",81.00696838256856,"[12.0, 34.0]",0.0081,"[16.5, 29.0]","[12.0, 32.0]",20.0
Stephen Woodford,22,6,81.0,1.7888543819998317,5,1,"[79.66666666666667, 82.16666666666667]","[16.0, 30.0]",81.00696838256856,"[12.0, 34.0]",0.00975,"[18.5, 24.5]","[16.0, 30.0]",23.0
Michael Licona,23,6,80.83333333333333,2.3166067138525404,5,1,"[79.16666666666667, 82.5]","[15.0, 31.5]",80.85522120165764,"[13.0, 34.0]",0.00515,"[20.0, 29.0]","[15.0, 31.0]",24.0
Ben Watkins,24,3,80.66666666666667,5.507570547286102,1,2,"[75.0, 86.0]","[6.0, 42.0]",80.73423304143154,"[11.0, 38.0]",0.0237,"[12.0, 34.0]","[9.0, 39.0]",19.0
Josh Rasmussen,25,5,80.6,2.701851217221259,4,1,"[78.6, 82.6]","[14.0, 34.0]",80.6504273577638,"[13.0, 36.0]",0.0066,"[19.0, 29.0]","[15.0, 33.0]",26.0
Richard Carrier,26,7,80.42857142857143,3.5523298860110977,5,2,"[77.71428571428571, 82.42857142857143]","[15.0, 36.0]",80.47903467790515,"[14.0, 35.0]",0.0015,"[18.0, 29.0]","[16.0, 36.0]",25.0
Lawrence Krauss,27,3,80.33333333333333,4.041451884327381,3,0,"[76.0, 84.0]","[11.5, 39.5]",80.45567439055323,"[11.0, 39.0]",0.0161,"[15.0, 33.0]","[13.0, 38.0]",28.5
Robert Price,28,3,80.33333333333333,0.5773502691896257,3,0,"[80.0, 81.0]","[22.0, 30.0]",80.45567439055323,"[12.0, 38.0]",0.014,"[26.0, 29.0]","[22.0, 30.0]",28.5
James Tour,29,4,80.25,1.2583057392117916,4,0,"[79.25, 81.5]","[20.0, 31.5]",80.35639693981986,"[13.0, 38.0]",0.008,"[24.5, 29.0]","[20.0, 31.0]",30.0
