direction,number,debate_id,title,pro_speaker,con_speaker,pro_score,con_score,con_minus_pro
largest PRO advantages outside the classified set,82,bush-mcallister-moral-anti-realism-realism-2025,Lance Bush vs Derek McAllister: Moral Anti-Realism vs Realism,Lance Bush,Derek McAllister,90.0,76.0,-14.0
largest PRO advantages outside the classified set,56,huemer-lutz-morality-real-2026,Mike Huemer vs Matt Lutz: Is Morality Real?,Michael Huemer,Matt Lutz,88.0,81.0,-7.0
largest PRO advantages outside the classified set,4,lennox-atkins-science-explain-everything-2019,John Lennox vs Peter Atkins: Can Science Explain Everything?,John Lennox,Peter Atkins,84.0,77.0,-7.0
largest PRO advantages outside the classified set,135,ehrman-price-historical-jesus-mythicism-2016,Bart Ehrman vs Robert Price: Did Jesus Exist?,Bart Ehrman,Robert Price,86.0,81.0,-5.0
largest PRO advantages outside the classified set,208,vela-jones-divine-hiddenness-christian-love-2023,Divine Hiddenness and Christian Love: Tyler Vela vs. Michael Jones (2023),Tyler Vela,Michael Jones,83.0,78.0,-5.0
largest PRO advantages outside the classified set,38,mcdowell-ehrman-moral-objectivity-2026,"Sean McDowell vs Bart Ehrman: The Moral Argument, Guilt, and the Teachings of Jesus",Sean McDowell,Bart Ehrman,86.0,82.0,-4.0
largest PRO advantages outside the classified set,224,hossenfelder-kastrup-superdeterminism-2022,Is Superdeterminism Scientifically Justified? Sabine Hossenfelder vs. Bernardo Kastrup (2022),Sabine Hossenfelder,Bernardo Kastrup,85.0,82.0,-3.0
largest PRO advantages outside the classified set,186,huemer-sapolsky-free-will-determinism-2024,Michael Huemer vs Robert Sapolsky: Does Free Will Exist—and Does It Matter?,Michael Huemer,Robert Sapolsky,83.0,80.0,-3.0
largest CON advantages outside the classified set,201,hernandez-dillahunty-soul-existence-2015,Does the Soul Exist? Eric Hernandez vs. Matt Dillahunty (2015),Eric Hernandez,Matt Dillahunty,68.0,82.0,14.0
largest CON advantages outside the classified set,19,harris-oconnor-objective-morality-2024,Sam Harris vs Alex O'Connor: Objective Morality and Emotivism,Sam Harris,Alex O'Connor,77.0,88.0,11.0
largest CON advantages outside the classified set,185,dennett-caruso-free-will-responsibility-2021,Daniel Dennett vs Gregg Caruso: Free Will and Moral Responsibility,Daniel Dennett,Gregg Caruso,79.0,89.0,10.0
largest CON advantages outside the classified set,133,hawkins-folley-free-will-idealism-2026,"Nathan Hawkins vs Joe Folley: Free Will, Compatibilism, and Idealism",Nathan Hawkins,Joe Folley,77.0,85.0,8.0
largest CON advantages outside the classified set,190,huemer-oppy-souls-personal-identity-2022,Michael Huemer vs Graham Oppy: Do Souls Exist?,Michael Huemer,Graham Oppy,76.0,84.0,8.0
largest CON advantages outside the classified set,23,oconnor-biddle-objective-morality-2024,Alex O'Connor vs Craig Biddle: Is Morality Objective?,Craig Biddle,Alex O'Connor,82.0,89.0,7.0
largest CON advantages outside the classified set,187,ward-dennett-more-than-matter-2019,Keith Ward vs Daniel Dennett: Are We More Than Matter?,Keith Ward,Daniel Dennett,76.0,83.0,7.0
largest CON advantages outside the classified set,146,harris-dennett-free-will-2018,Sam Harris vs Daniel Dennett: Does Free Will Exist?,Sam Harris,Daniel Dennett,82.0,88.0,6.0
