speaker,appearances,pro_appearances,con_appearances,pro_score,con_score,con_minus_pro,pro_generation_adjusted_score,con_generation_adjusted_score,generation_adjusted_con_minus_pro
Rabbi David Wolpe,2,1,1,68.0,76.0,8.0,70.62040872687103,75.50226873344349,4.8818600065724524
Richard Dawkins,6,1,5,76.0,82.4,6.400000000000006,78.62040872687103,83.77315272950003,5.152744002628992
Michael Shermer,6,1,5,77.0,81.8,4.799999999999997,79.62040872687103,81.92589673212899,2.3054880052579563
Matt Dillahunty,27,1,26,82.0,86.23076923076923,4.230769230769226,81.50226873344349,85.97289488678408,4.470626153340589
Craig Evans,2,1,1,79.0,83.0,4.0,81.62040872687103,85.62040872687103,4.0
Matt Slick,2,1,1,70.0,74.0,4.0,69.50226873344349,73.50226873344349,4.0
Peter Atkins,4,1,3,70.0,74.0,4.0,69.50226873344349,73.50226873344349,4.0
Alex O'Connor,26,2,24,82.0,85.83333333333333,3.8333333333333286,83.06133873015726,85.85529206568141,2.793953335524151
Daniel Dennett,6,3,3,81.33333333333333,85.0,3.6666666666666714,80.83560206677681,84.50226873344349,3.6666666666666714
Michael Licona,5,4,1,80.75,84.0,3.25,80.25226873344349,83.50226873344349,3.25
Michael Jones,10,9,1,74.77777777777777,78.0,3.2222222222222285,74.28004651122127,80.62040872687103,6.340362215649762
Sean Carroll,3,1,2,84.0,87.0,3.0,83.50226873344349,86.50226873344349,3.0
Glen Scrivener,4,3,1,77.33333333333333,80.0,2.6666666666666714,76.83560206677681,79.50226873344349,2.6666666666666714
Sam Harris,6,2,4,79.5,81.75,2.25,79.00226873344349,82.03180373180038,3.029534998356894
Michael Ruse,3,1,2,82.0,83.5,1.5,81.50226873344349,83.00226873344349,1.5
James White,2,1,1,79.0,80.0,1.0,78.50226873344349,82.62040872687103,4.1181399934275476
Bart Ehrman,11,2,9,85.5,86.11111111111111,0.6111111111111143,86.56133873015726,85.6133798445546,-0.9479588856026595
Christopher Hitchens,11,5,6,81.4,82.0,0.5999999999999943,80.90226873344349,81.50226873344349,0.5999999999999943
Joseph Schmid,3,1,2,88.0,88.5,0.5,90.62040872687103,88.00226873344349,-2.6181399934275476
Dinesh D'Souza,6,4,2,75.75,75.0,-0.75,76.03180373180038,74.50226873344349,-1.529534998356894
Bernardo Kastrup,3,2,1,83.0,82.0,-1.0,84.06133873015726,84.62040872687103,0.5590699967137738
Michael Huemer,7,5,2,82.4,81.0,-1.4000000000000057,82.52589673212898,82.06133873015726,-0.46455800197172437
Max Baker-Hytch,2,1,1,84.0,82.0,-2.0,83.50226873344349,84.62040872687103,1.1181399934275476
Stephen Woodford,6,3,3,82.33333333333333,79.66666666666667,-2.666666666666657,81.83560206677681,80.20831539791934,-1.6272866688574794
Philip Goff,2,1,1,84.0,81.0,-3.0,83.50226873344349,80.50226873344349,-3.0
Alister McGrath,3,2,1,76.5,72.0,-4.5,77.56133873015726,74.62040872687103,-2.9409300032862262
Frank Turek,7,6,1,74.83333333333333,70.0,-4.833333333333329,74.33560206677681,69.50226873344349,-4.833333333333329
John Lennox,9,8,1,77.75,72.0,-5.75,77.64203623262193,74.62040872687103,-3.0216275057508994
Lance Bush,3,1,2,90.0,83.5,-6.5,89.50226873344349,83.00226873344349,-6.5
