number,debate_id,title,cohort,pro_speaker,con_speaker,pro_score,con_score,higher_side,lower_side,margin,tie,pro_moves,con_moves,pro_fallacy_tagged_moves,con_fallacy_tagged_moves,pro_fallacy_instances,con_fallacy_instances,pro_bias_instances,con_bias_instances,lower_fallacy_tagged_moves,higher_fallacy_tagged_moves,lower_fallacy_instances,higher_fallacy_instances,lower_bias_instances,higher_bias_instances
1,craig-oconnor-god-debate-2026,Alex O'Connor vs William Lane Craig: Does God Exist?,closed,William Lane Craig,Alex O'Connor,76,82,con,pro,6,False,9,9,0,0,0,0,0,0,0,0,0,0,0,0
2,craig-hitchens-god-existence-2009,William Lane Craig vs Christopher Hitchens: Does God Exist?,closed,William Lane Craig,Christopher Hitchens,78,82,con,pro,4,False,9,12,2,0,2,0,0,0,2,0,2,0,0,0
3,hitchens-dsouza-religion-problem-2010,Christopher Hitchens vs Dinesh D'Souza: Is Religion the Problem?,closed,Christopher Hitchens,Dinesh D'Souza,83,75,pro,con,8,False,10,9,0,2,0,2,0,2,2,0,2,0,2,0
4,lennox-atkins-science-explain-everything-2019,John Lennox vs Peter Atkins: Can Science Explain Everything?,closed,John Lennox,Peter Atkins,84,77,pro,con,7,False,9,10,0,0,0,0,0,0,0,0,0,0,0,0
5,dillahunty-ten-bruggencate-reasonable-god-2014,Matt Dillahunty vs Sye Ten Bruggencate: Is It Reasonable to Believe God Exists?,closed,Sye Ten Bruggencate,Matt Dillahunty,64,88,con,pro,24,False,10,10,2,1,2,1,0,0,2,1,2,1,0,0
6,dsouza-dillahunty-god-woman-2023,Dinesh D'Souza vs Matt Dillahunty: Does God Exist? What Is a Woman?,closed,Dinesh D'Souza,Matt Dillahunty,77,87,con,pro,10,False,10,9,0,0,0,0,0,0,0,0,0,0,0,0
7,wood-oconnor-jesus-claim-god-2025,David Wood vs Alex O'Connor: Did Jesus Claim to Be God?,closed,David Wood,Alex O'Connor,83,90,con,pro,7,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
8,wood-shermer-god-exist-2022,David Wood vs Michael Shermer: Does God Exist?,closed,David Wood,Michael Shermer,73,80,con,pro,7,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
9,peterson-dillahunty-god-debate-2023,Jordan Peterson vs Matt Dillahunty: The Greatest God Debate In History,closed,Jordan Peterson,Matt Dillahunty,73,89,con,pro,16,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
10,craig-harris-moral-foundations-2011,William Lane Craig vs Sam Harris: The God Debate II,closed,William Lane Craig,Sam Harris,79,79,tie,tie,0,True,10,10,0,0,0,0,0,0,,,,,,
11,dsouza-ehrman-god-suffering-evil-2025,"Dinesh D'Souza vs Bart Ehrman: God, Suffering, and Evil",closed,Dinesh D'Souza,Bart Ehrman,79,87,con,pro,8,False,9,8,0,0,0,0,0,0,0,0,0,0,0,0
12,settecase-jump-evidence-for-god-2025,Joel Settecase vs Tom Jump: Is There Evidence for God?,closed,Joel Settecase,Tom Jump,84,78,pro,con,6,False,8,10,0,0,0,0,0,0,0,0,0,0,0,0
