number,debate_id,title,cohort,margin,lower_fallacy_instances,logicalCoherence_contribution,evidenceWarrant_contribution,responsiveness_contribution,relevanceBurden_contribution,precisionClarity_contribution,calibrationCharity_contribution,positive_dimension_count,adjustment_gap,rounding_residual
139,adelstein-dillahunty-belief-god-2025,Matthew Adelstein vs Matt Dillahunty: Should We Believe in God?,closed,8,0,2.5949999999999953,2.5233999999999983,1.477400000000003,-0.7097999999999999,1.4340000000000004,1.349600000000001,5,0,-0.6695999999999973
90,akin-ehrman-gospels-historically-reliable-2022,Jimmy Akin vs Bart Ehrman: Are the Gospels Historically Reliable?,closed,7,0,1.4975000000000023,1.6437999999999988,2.2771999999999992,0.588600000000001,0.4910000000000011,0.6645999999999987,6,0,-0.16270000000000095
78,albrecht-oppy-resurrection-ancient-christianity-2023,William Albrecht vs Graham Oppy: Resurrection and Ancient Christianity,closed,7,0,1.7205000000000013,0.39459999999999984,1.8586000000000042,0.4257000000000012,0.7100000000000009,1.4842,6,0,0.40639999999999254
138,albrecht-price-bodily-resurrection-2022,William Albrecht vs Robert Price: Did Jesus Bodily Rise from the Dead?,closed,2,0,0.7310000000000052,0.23559999999999948,0.8140000000000044,0.27314999999999756,-0.029999999999999718,0.05249999999999915,5,0,-0.07625000000000615
180,ally-licona-did-jesus-rise-dead-2004,Shabir Ally vs Michael Licona: Did Jesus Rise from the Dead?,closed,2,0,0.1374999999999993,-0.19500000000000173,0.025000000000002843,0.8662500000000009,0.1,0.7649999999999992,5,0,0.3012499999999996
85,atkins-fox-god-science-future-humanity-2024,Peter Atkins vs Keith Fox: God vs Science Debate,closed,15,0,4.349499999999999,3.5976,2.7975999999999974,-0.7614000000000011,2.047,3.1428000000000007,5,0,-0.17309999999999626
148,baggett-dillahunty-moral-argument-2018,David Baggett vs Matt Dillahunty: The Moral Argument for God,closed,1,0,-0.4197500000000005,0.31459999999999866,1.0883999999999987,0.4590000000000003,0.15500000000000114,-0.10640000000000072,4,0,-0.49084999999999757
211,baggini-baker-hytch-divine-hiddenness-2025,Divine Hiddenness and Evidential Ambiguity: Julian Baggini vs. Max Baker-Hytch (2025),standalone,2,1,0.6470808982683991,0.304303246753247,0.03008961038961218,-0.33419545454545413,0.3304517316017311,0.9546174242424244,5,0,0.06765254329004033
117,bertuzzi-oconnor-contingency-argument-2018,Alex O'Connor vs Cameron Bertuzzi: Something From Nothing?,closed,6,0,0.7519999999999989,1.2371999999999987,2.3576000000000024,1.1900999999999995,0.0,0.7051999999999993,5,0,-0.24209999999999887
116,bertuzzi-schieber-evil-evidence-2019,Cameron Bertuzzi vs Justin Schieber: The Problem of Evil,closed,9,0,2.34375,2.413,2.318000000000001,-0.11699999999999804,0.9600000000000009,0.8029999999999987,5,0,0.27924999999999756
89,bignon-oppy-religious-experience-god-2022,Guillaume Bignon vs Graham Oppy: Religious Experience and the Case for God,closed,5,1,1.4437500000000014,2.1599999999999997,0.5369999999999976,0.11999999999999957,-0.2,0.922999999999999,5,0,0.016250000000002984
59,bollore-halper-god-science-evidence-2026,Michel-Yves Bollore vs Phil Halper: Does Science Point to God?,closed,19,4,6.128749999999998,5.8210000000000015,3.0319999999999996,0.24375,1.5150000000000006,2.5785000000000005,6,0,-0.31899999999999906
