number,debate_id,title,cohort,higher_side,lower_side,higher_score,lower_score,margin,higher_fallacy_instances,lower_fallacy_instances
127,slick-clifton-objective-morality-god-2014,Matt Slick vs Scott Clifton: Does Objective Morality Require God?,closed,con,pro,89,70,19,0,0
141,fischer-dillahunty-axiomatic-evidence-god-2020,Ben Fischer vs Matt Dillahunty: Is There Good Evidence for God?,closed,con,pro,86,68,18,0,0
68,jones-dillahunty-quantum-idealism-demonstrability-2026,Michael Jones vs Matt Dillahunty: Quantum Idealism and Demonstrability,closed,con,pro,86,69,17,0,0
72,dyer-malpass-tag-argument-2019,Jay Dyer vs Alex Malpass: The TAG Argument,closed,con,pro,91,74,17,0,0
157,dillahunty-howitt-christianity-true-2023,Matt Dillahunty vs Lewis Howitt: Is Christianity True?,closed,con,pro,88,71,17,0,0
9,peterson-dillahunty-god-debate-2023,Jordan Peterson vs Matt Dillahunty: The Greatest God Debate In History,closed,con,pro,89,73,16,0,0
46,shapiro-oconnor-atheist-delusion-society-2023,"Ben Shapiro vs Alex O'Connor: The Atheist Delusion, Free Will, and Society",closed,con,pro,87,71,16,0,0
67,jones-fodor-digital-physics-god-2021,Michael Jones vs James Fodor: The Digital Physics Argument for God,closed,con,pro,87,71,16,0,0
63,butt-shermer-god-bible-2023,Kyle Butt vs Michael Shermer: Does the God of the Bible Exist?,closed,con,pro,86,71,15,0,0
85,atkins-fox-god-science-future-humanity-2024,Peter Atkins vs Keith Fox: God vs Science Debate,closed,con,pro,85,70,15,0,0
82,bush-mcallister-moral-anti-realism-realism-2025,Lance Bush vs Derek McAllister: Moral Anti-Realism vs Realism,closed,pro,con,90,76,14,0,0
49,dyer-dillahunty-transcendental-theism-2019,Jay Dyer vs Matt Dillahunty: Transcendental Argument for Theism,closed,con,pro,89,76,13,0,0
123,oconnor-pine-divine-hiddenness-2024,Gregory Pine vs Alex O'Connor: The Divine Hiddenness Problem,closed,con,pro,87,74,13,0,0
83,loke-oppy-kalam-causal-principle-2020,Andrew Loke vs Graham Oppy: Is the Kalam Sound?,closed,con,pro,86,74,12,0,0
86,egnor-dillahunty-god-existence-2021,Michael Egnor vs Matt Dillahunty: Does God Exist?,closed,con,pro,83,71,12,0,0
161,craig-millican-does-god-exist-2011,William Lane Craig vs Peter Millican: Does God Exist?,closed,con,pro,87,75,12,0,0
13,knechtle-oconnor-christian-morality-2025,"Cliffe Knechtle vs Alex O'Connor: Christianity, Scripture, and Morality",closed,con,pro,87,76,11,0,0
19,harris-oconnor-objective-morality-2024,Sam Harris vs Alex O'Connor: Objective Morality and Emotivism,closed,con,pro,88,77,11,0,0
43,meyer-halper-cosmology-fine-tuning-2026,Stephen Meyer vs Phil Halper: The Big Bang and Fine-Tuning,closed,con,pro,90,79,11,0,0
118,hernandez-schieber-god-existence-2023,Eric Hernandez vs Justin Schieber: Does God Exist?,closed,con,pro,85,74,11,0,0
