number,id,title,youtube,cohort,topic,narrow,theist_speaker,non_theist_speaker,theist_words,non_theist_words,unknown_words,excluded_words,source_words,teaser_spans,source_note,theist_unsupported,theist_protected_slogan,theist_protected_any,theist_borderline_unsupported,theist_borderline_protected,theist_unsupported_with_emotion,non_theist_unsupported,non_theist_protected_slogan,non_theist_protected_any,non_theist_borderline_unsupported,non_theist_borderline_protected,non_theist_unsupported_with_emotion,theist_unsupported_rate,theist_protected_slogan_rate,theist_protected_any_rate,theist_borderline_unsupported_rate,theist_borderline_protected_rate,non_theist_unsupported_rate,non_theist_protected_slogan_rate,non_theist_protected_any_rate,non_theist_borderline_unsupported_rate,non_theist_borderline_protected_rate
1,craig-oconnor-god-debate-2026,Alex O'Connor vs William Lane Craig: Does God Exist?,https://www.youtube.com/watch?v=TAW6-_L4z9M,earlier,"Evil, suffering & hiddenness",True,William Lane Craig,Alex O'Connor,5941,7957,611,4034,18543,0,"Reviewed all supplied events, E0–E3084, without tools. This is transcript-only annotation; scientific and historical assertions were not independently verified. Several events combine speakers, omit turn markers, or contain apparent transcription errors. U marks inseparably mixed or genuinely uncertain events; brief acknowledgments do not otherwise displace the substantive speaker. Identification anchors sometimes span intervening replies and were checked against context.",0,0,4,2,1,0,0,0,0,0,0,0,0.0,0.0,6.732873253660999,3.3664366268304997,1.6832183134152499,0.0,0.0,0.0,0.0,0.0
2,craig-hitchens-god-existence-2009,William Lane Craig vs Christopher Hitchens: Does God Exist?,https://www.youtube.com/watch?v=0tYm41hb48o,earlier,General theism & naturalism,True,William Lane Craig,Christopher Hitchens,9956,10060,11,3529,23556,0,"Reviewed all supplied events E0–E3196. This is a transcript-only annotation; apparent transcription errors are preserved in quotations. Standalone audience reactions and housekeeping are O; reactions embedded within substantive speech remain with that speaker. E1745 mixes speakers, and E3077 does not securely identify its speaker. Hitchens's quotations of Craig's books and other people's claims are not treated as Hitchens's endorsements or automatically as Craig's live speech. No edited teaser replay was identifiable.",0,0,1,3,2,0,4,0,0,0,1,4,0.0,0.0,1.004419445560466,3.0132583366813983,2.008838891120932,3.9761431411530817,0.0,0.0,0.0,0.9940357852882704
3,hitchens-dsouza-religion-problem-2010,Christopher Hitchens vs Dinesh D'Souza: Is Religion the Problem?,https://www.youtube.com/watch?v=9V85OykSDT8,earlier,"Religion, culture & meaning",False,Dinesh D'Souza,Christopher Hitchens,7002,7577,171,3187,17937,0,"Reviewed all supplied events E0–E2661. Attribution uses the transcript's turn structure; events containing inseparable speaker transitions are U. Automatic transcription errors and missing speaker labels limit precision. Quotations preserve supplied wording. No edited teaser replays were identifiable. Historical and scientific assertions were assessed for their argumentative use, not independently verified.",0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.3197835554968984,0.0,0.0,0.0,0.0
5,dillahunty-ten-bruggencate-reasonable-god-2014,Matt Dillahunty vs Sye Ten Bruggencate: Is It Reasonable to Believe God Exists?,https://www.youtube.com/watch?v=OL8LREmbDi0,earlier,"Mind, reason & logic",True,Sye Ten Bruggencate,Matt Dillahunty,6373,9226,2804,3754,22157,22,"Reviewed all supplied events, E0–E3199. The transcript has substantial transcription errors, no reliable speaker labels, and many events containing a speaker change. U marks those inseparably mixed events; neighboring turns remain attributed where context identifies them. Recorded excerpts played during B's presentations are O, not fresh A speech. These appear to be historical clips rather than editorial teasers replaying later debate speech; their exclusion ranges are listed separately. Findings concern these particular uses, not the truth of either worldview.",15,12,15,2,5,9,0,0,0,1,1,0,23.53679585752393,18.829436686019143,23.53679585752393,3.138239447669857,7.845598619174643,0.0,0.0,0.0,1.0838933448948624,1.0838933448948624
6,dsouza-dillahunty-god-woman-2023,Dinesh D'Souza vs Matt Dillahunty: Does God Exist? What Is a Woman?,https://www.youtube.com/watch?v=mEM1AhlH9eI,earlier,"Religion, culture & meaning",False,Dinesh D'Souza,Matt Dillahunty,10114,8589,2412,1017,22132,0,"Reviewed all supplied events 0–3234. Annotation concerns the uses of claims in this transcript, not their external factual accuracy. Numerous events contain both speakers; these receive U where their speech cannot be separated at event boundaries. Automatic-transcription errors and an apparent gap between E2163 and E2164 limit interpretation. No identifiable edited teaser replay appears in the supplied text.",1,1,3,1,1,1,0,0,0,0,0,0,0.9887284951552304,0.9887284951552304,2.966185485465691,0.9887284951552304,0.9887284951552304,0.0,0.0,0.0,0.0,0.0
7,wood-oconnor-jesus-claim-god-2025,David Wood vs Alex O'Connor: Did Jesus Claim to Be God?,https://www.youtube.com/watch?v=_hrN4Mn8m1w,earlier,"Scripture, revelation & doctrine",False,David Wood,Alex O'Connor,12392,11688,1011,2135,27226,0,"Reviewed all supplied events, E0–E3878, without tools. Attribution follows conversational context where the supplied anchors encompass multiple speakers. U marks event boundaries containing inseparable speaker changes or genuinely uncertain voices. The transcript contains transcription errors, missing words, and an apparent gap around E834–E835; quotations preserve its wording. No edited teaser replays were identifiable. Findings concern rhetorical use, not the correctness of the historical or theological arguments.",0,0,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.8069722401549386,0.8069722401549386,0.0,0.0,0.0,0.0,0.0
8,wood-shermer-god-exist-2022,David Wood vs Michael Shermer: Does God Exist?,https://www.youtube.com/watch?v=xKd2Ht5Bs-k,earlier,General theism & naturalism,True,David Wood,Michael Shermer,10267,10068,195,1976,22506,0,"Reviewed all supplied events E0–E3879. The transcript contains transcription errors, incomplete phrases, and several events containing speaker changes; these are preserved in quotations and marked U where inseparable. Attribution follows turn context rather than ideology. No identifiable edited teaser replays occur in the supplied text. Historical quotations and empirical claims were not independently verified.",1,1,5,0,0,1,0,0,1,3,1,0,0.9739943508327652,0.9739943508327652,4.869971754163826,0.0,0.0,0.0,0.0,0.9932459276916965,2.9797377830750893,0.9932459276916965
9,peterson-dillahunty-god-debate-2023,Jordan Peterson vs Matt Dillahunty: The Greatest God Debate In History,https://www.youtube.com/watch?v=9nQUg4QeI_Y,earlier,"Religion, culture & meaning",False,Jordan Peterson,Matt Dillahunty,6628,8603,624,1606,17461,0,"Reviewed all supplied events E0–E2934. This is transcript-only annotation: several events contain clipped words, overlapping turns, or transcription errors. Attribution follows the substantive speaker through incidental acknowledgments; U marks inseparable substantive speaker changes or genuinely uncertain fragments. Identification anchors were checked against surrounding exchanges rather than treated as uninterrupted speaker ranges. No edited teaser replay was identifiable in the supplied text.",3,2,3,1,0,3,0,0,0,0,0,0,4.526252263126132,3.017501508750754,4.526252263126132,1.508750754375377,0.0,0.0,0.0,0.0,0.0,0.0
10,craig-harris-moral-foundations-2011,William Lane Craig vs Sam Harris: The God Debate II,https://www.youtube.com/watch?v=yqaHXKLRKzg,earlier,Morality & moral foundations,True,William Lane Craig,Sam Harris,7035,8933,29,3134,19131,0,"Reviewed all supplied events E0–E2969. Attribution follows speaking turns and content, not ideology. The transcript contains apparent recognition errors and several events spanning speaker changes; quotations preserve its wording. No audio, slides, cited books, or external evidence were supplied or checked. No edited teaser replays were identified.",0,0,1,0,0,0,1,0,2,0,1,0,0.0,0.0,1.4214641080312722,0.0,0.0,1.119444755401321,0.0,2.238889510802642,0.0,1.119444755401321
11,dsouza-ehrman-god-suffering-evil-2025,"Dinesh D'Souza vs Bart Ehrman: God, Suffering, and Evil",https://www.youtube.com/watch?v=XtWjEjdYvLA,earlier,"Evil, suffering & hiddenness",True,Dinesh D'Souza,Bart Ehrman,7235,5654,323,2455,15667,0,"Reviewed all supplied events E0–E2526. Attribution follows conversational turns, not ideology. Some events contain multiple speakers and are marked U; the text alone cannot reliably resolve a few short interjections. Quotations preserve transcript wording. Scientific and historical assertions were not independently verified.",1,0,0,2,3,1,0,0,0,0,0,0,1.38217000691085,0.0,0.0,2.7643400138217,4.14651002073255,0.0,0.0,0.0,0.0,0.0
