number,id,title,included,reason,theist_side,theist_label,theist_speaker,non_theist_side,non_theist_label,non_theist_speaker,theist_score,non_theist_score,margin_non_theist_minus_theist
01,craig-oconnor-god-debate-2026,Alex O'Connor vs William Lane Craig: Does God Exist?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Theist,William Lane Craig,con,Agnostic atheist,Alex O'Connor,76,82,6
02,craig-hitchens-god-existence-2009,William Lane Craig vs Christopher Hitchens: Does God Exist?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christian theist,William Lane Craig,con,Atheist critic,Christopher Hitchens,78,82,4
03,hitchens-dsouza-religion-problem-2010,Christopher Hitchens vs Dinesh D'Souza: Is Religion the Problem?,True,one published theistic/religious side and one published non-theistic/skeptical side,con,God explains the problem,Dinesh D'Souza,pro,Religion is the problem,Christopher Hitchens,75,83,8
04,lennox-atkins-science-explain-everything-2019,John Lennox vs Peter Atkins: Can Science Explain Everything?,False,"religion-adjacent, but no explicit theist-vs-non-theist side comparison",,,,,,,,,
05,dillahunty-ten-bruggencate-reasonable-god-2014,Matt Dillahunty vs Sye Ten Bruggencate: Is It Reasonable to Believe God Exists?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Presuppositional theist,Sye Ten Bruggencate,con,Skeptical atheist,Matt Dillahunty,64,88,24
06,dsouza-dillahunty-god-woman-2023,Dinesh D'Souza vs Matt Dillahunty: Does God Exist? What Is a Woman?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Theistic conservative,Dinesh D'Souza,con,Secular humanist,Matt Dillahunty,77,87,10
07,wood-oconnor-jesus-claim-god-2025,David Wood vs Alex O'Connor: Did Jesus Claim to Be God?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Affirmative,David Wood,con,Critical reader,Alex O'Connor,83,90,7
08,wood-shermer-god-exist-2022,David Wood vs Michael Shermer: Does God Exist?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Theist,David Wood,con,Skeptic,Michael Shermer,73,80,7
09,peterson-dillahunty-god-debate-2023,Jordan Peterson vs Matt Dillahunty: The Greatest God Debate In History,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Religious pragmatist,Jordan Peterson,con,Secular skeptic,Matt Dillahunty,73,89,16
10,craig-harris-moral-foundations-2011,William Lane Craig vs Sam Harris: The God Debate II,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Supernatural foundation,William Lane Craig,con,Natural foundation,Sam Harris,79,79,0
11,dsouza-ehrman-god-suffering-evil-2025,"Dinesh D'Souza vs Bart Ehrman: God, Suffering, and Evil",True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Theistic answer,Dinesh D'Souza,con,Skeptical challenge,Bart Ehrman,79,87,8
12,settecase-jump-evidence-for-god-2025,Joel Settecase vs Tom Jump: Is There Evidence for God?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christian theism,Joel Settecase,con,Atheist naturalism,Tom Jump,84,78,-6
13,knechtle-oconnor-christian-morality-2025,"Cliffe Knechtle vs Alex O'Connor: Christianity, Scripture, and Morality",True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christian defense,Cliffe Knechtle,con,Skeptical critique,Alex O'Connor,76,87,11
14,jones-carrier-god-existence-2025,Michael Jones vs Richard Carrier: Does God Exist?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Theistic idealism,Michael Jones,con,Secular naturalism,Richard Carrier,74,73,-1
15,hitchens-lennox-is-god-great-2017,Christopher Hitchens vs John Lennox: Is God Great?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christian theism,John Lennox,con,Anti-theism,Christopher Hitchens,77,81,4
16,hirsi-ali-dawkins-god-debate-2024,Ayaan Hirsi Ali vs Richard Dawkins: The God Debate,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christian renewal,Ayaan Hirsi Ali,con,Atheist truth test,Richard Dawkins,74,84,10
17,collins-oconnor-god-existence-2024,Francis Collins vs Alex O'Connor: Does God Exist?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christian theism,Francis Collins,con,Skeptical agnosticism,Alex O'Connor,79,88,9
19,harris-oconnor-objective-morality-2024,Sam Harris vs Alex O'Connor: Objective Morality and Emotivism,False,no position-level theist-vs-non-theist comparison,,,,,,,,,
20,hitchens-hitchens-iraq-god-2008,"Christopher Hitchens vs Peter Hitchens: Iraq, God, and Moral Authority",True,one published theistic/religious side and one published non-theistic/skeptical side,con,Restraint and theism,Peter Hitchens,pro,Intervention and anti-theism,Christopher Hitchens,77,79,2
21,hitchens-wolpe-great-god-debate-2010,Christopher Hitchens vs Rabbi David Wolpe: The Great God Debate,True,one published theistic/religious side and one published non-theistic/skeptical side,con,Jewish theism,Rabbi David Wolpe,pro,Atheist critique,Christopher Hitchens,76,85,9
22,turek-hitchens-god-existence-2008,Frank Turek vs Christopher Hitchens: Does God Exist?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christian theism,Frank Turek,con,Anti-theism,Christopher Hitchens,74,81,7
23,oconnor-biddle-objective-morality-2024,Alex O'Connor vs Craig Biddle: Is Morality Objective?,False,no position-level theist-vs-non-theist comparison,,,,,,,,,
24,hitchens-olasky-religion-grace-2007,"Christopher Hitchens vs Marvin Olasky: Religion, Grace, and Secular Morality",True,one published theistic/religious side and one published non-theistic/skeptical side,con,Christian grace,Marvin Olasky,pro,Anti-theist critique,Christopher Hitchens,82,80,-2
25,hitchens-ramadan-islam-peace-2010,Christopher Hitchens vs Tariq Ramadan: Is Islam a Religion of Peace?,True,one published theistic/religious side and one published non-theistic/skeptical side,con,Reformist Islam,Tariq Ramadan,pro,Islam-not-peace critique,Christopher Hitchens,82,80,-2
26,turek-hitchens-reality-theism-atheism-2011,Frank Turek vs Christopher Hitchens: What Best Explains Reality?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Theism explains reality,Frank Turek,con,Atheism explains reality,Christopher Hitchens,74,83,9
27,oconnor-turek-evil-moral-argument-2017,Alex O'Connor vs Frank Turek: The Moral Argument Debate,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Moral argument,Frank Turek,con,Subjective morality,Alex O'Connor,76,87,11
28,turek-shermer-reality-theism-atheism-2018,Frank Turek vs Michael Shermer: What Best Explains Reality?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Theistic explanation,Frank Turek,con,Scientific skepticism,Michael Shermer,72,83,11
29,turek-silverman-reality-theism-atheism-2013,Frank Turek vs David Silverman: Which Better Explains Reality?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Theism explains reality,Frank Turek,con,Atheism explains reality,David Silverman,77,78,1
