debate_number,debate_id,title,label,motion,side,speaker,opponent,score,opponent_score,cohort,margin,generation_adjusted_score
1,craig-oconnor-god-debate-2026,Alex O'Connor vs William Lane Craig: Does God Exist?,Christian theism and suffering,"Does God exist, and do cosmology, fine-tuning, morality, resurrection, and suffering support or undermine Christian theism?",pro,William Lane Craig,Alex O'Connor,76,82,closed,-6,75.5085248234426
1,craig-oconnor-god-debate-2026,Alex O'Connor vs William Lane Craig: Does God Exist?,Christian theism and suffering,"Does God exist, and do cosmology, fine-tuning, morality, resurrection, and suffering support or undermine Christian theism?",con,Alex O'Connor,William Lane Craig,82,76,closed,6,81.5085248234426
2,craig-hitchens-god-existence-2009,William Lane Craig vs Christopher Hitchens: Does God Exist?,Christian theism and atheism,"Does God exist, and do cosmology, fine-tuning, morality, resurrection, suffering, and religion's record make Christian theism more plausible than atheism?",pro,William Lane Craig,Christopher Hitchens,78,82,closed,-4,77.5085248234426
2,craig-hitchens-god-existence-2009,William Lane Craig vs Christopher Hitchens: Does God Exist?,Christian theism and atheism,"Does God exist, and do cosmology, fine-tuning, morality, resurrection, suffering, and religion's record make Christian theism more plausible than atheism?",con,Christopher Hitchens,William Lane Craig,82,78,closed,4,81.5085248234426
3,hitchens-dsouza-religion-problem-2010,Christopher Hitchens vs Dinesh D'Souza: Is Religion the Problem?,Religion and public reason,"Is religion the problem, or does the God hypothesis better explain life, morality, purpose, and human experience than secular doubt?",pro,Christopher Hitchens,Dinesh D'Souza,83,75,closed,8,82.5085248234426
3,hitchens-dsouza-religion-problem-2010,Christopher Hitchens vs Dinesh D'Souza: Is Religion the Problem?,Religion and public reason,"Is religion the problem, or does the God hypothesis better explain life, morality, purpose, and human experience than secular doubt?",con,Dinesh D'Souza,Christopher Hitchens,75,83,closed,-8,74.5085248234426
4,lennox-atkins-science-explain-everything-2019,John Lennox vs Peter Atkins: Can Science Explain Everything?,Science and explanation,"Can science explain everything worth explaining, or do rationality, miracles, purpose, origins, morality, and meaning require a different kind of explanation?",pro,John Lennox,Peter Atkins,84,77,closed,7,83.5085248234426
4,lennox-atkins-science-explain-everything-2019,John Lennox vs Peter Atkins: Can Science Explain Everything?,Science and explanation,"Can science explain everything worth explaining, or do rationality, miracles, purpose, origins, morality, and meaning require a different kind of explanation?",con,Peter Atkins,John Lennox,77,84,closed,-7,76.5085248234426
5,dillahunty-ten-bruggencate-reasonable-god-2014,Matt Dillahunty vs Sye Ten Bruggencate: Is It Reasonable to Believe God Exists?,Logic and presuppositions,"Is belief in God reasonable, and can truth, logic, knowledge, induction, and evidence be accounted for without Christian revelation?",pro,Sye Ten Bruggencate,Matt Dillahunty,64,88,closed,-24,63.5085248234426
5,dillahunty-ten-bruggencate-reasonable-god-2014,Matt Dillahunty vs Sye Ten Bruggencate: Is It Reasonable to Believe God Exists?,Logic and presuppositions,"Is belief in God reasonable, and can truth, logic, knowledge, induction, and evidence be accounted for without Christian revelation?",con,Matt Dillahunty,Sye Ten Bruggencate,88,64,closed,24,87.5085248234426
