speaker,appearances,mean_score,median_score,score_sd,score_min,score_max,score_range,mean_opponent_score,mean_margin,closed_appearances,standalone_appearances,ranking_value,rank,margin_rank,generation_adjusted_mean,generation_adjusted_rank,shrinkage_weight,shrunken_mean,shrunken_rank,bootstrap_mean_ci_95,bootstrap_rank_ci_95,bootstrap_rank_median,bootstrap_top_10_probability,hierarchical_mean,hierarchical_mean_sd,hierarchical_rank_ci_95,hierarchical_rank_median,hierarchical_top_10_probability,base_rank,leave_one_out_min_rank,leave_one_out_max_rank,leave_one_out_span,leave_one_out_max_absolute_shift
Joseph Schmid,3,88.33333333333333,88,1.5275252316519468,87,90,3,84.33333333333333,4.0,2,1,88.33333333333333,1,10,88.89431005000995,1,0.8181068531783316,87.09663504266855,1,"[87.0, 90.0]","[1.0, 4.0]",2.0,1.0,87.09663504266855,1.6336869021925542,"[1.0, 11.0]",2.0,0.9728,1,1,2,1,1
Scott Clifton,3,88.0,88,1.0,87,89,2,77.0,11.0,3,0,88.0,2,2,87.5085248234426,2,0.8181068531783316,86.82393275827579,2,"[87.0, 89.0]","[1.0, 5.0]",2.0,1.0,86.82393275827579,1.6336869021925542,"[1.0, 11.0]",3.0,0.95995,2,1,2,1,1
Alex Malpass,6,87.16666666666667,89.5,4.875106836436168,80,91,11,79.16666666666667,8.0,6,0,87.16666666666667,3,5,86.67519149010927,3,0.8999546443028411,86.60317414279116,3,"[83.5, 90.5]","[1.0, 12.0]",4.0,0.94995,86.60317414279116,1.2115996110818026,"[1.0, 10.0]",3.0,0.98295,3,1,4,3,2
Joe Folley,4,86.5,86.5,2.3804761428476167,84,89,5,77.5,9.0,4,0,86.5,4,3,86.0085248234426,4,0.8570811500440955,85.79030729922619,5,"[84.5, 88.5]","[1.0, 10.0]",5.0,0.9836,85.79030729922619,1.4481228800643096,"[1.0, 13.0]",6.0,0.89795,4,3,7,4,3
Matt Dillahunty,27,86.07407407407408,86,2.585847962779267,82,91,9,74.5925925925926,11.481481481481481,25,2,86.07407407407408,5,1,85.81647709601312,5,0.9758917631908999,85.9646280298998,4,"[85.11111111111111, 87.03703703703704]","[3.0, 9.0]",6.0,0.99625,85.9646280298998,0.5947622330123915,"[2.0, 9.0]",5.0,0.99655,5,5,7,2,2
Bart Ehrman,11,86.0,86,2.0,82,88,6,82.0909090909091,3.909090909090909,10,1,86.0,6,11,85.79555715796097,6,0.942829990560845,85.74469566181865,6,"[84.81818181818181, 87.0]","[3.0, 10.0]",6.0,0.99065,85.74469566181865,0.9158931077620859,"[1.0, 11.0]",6.0,0.965,6,5,7,2,1
Sean Carroll,3,86.0,84,3.4641016151377544,84,90,6,84.66666666666667,1.3333333333333333,3,0,86.0,7,21,85.5085248234426,8,0.8181068531783316,85.18771905191912,8,"[84.0, 90.0]","[1.0, 12.0]",6.0,0.8289,85.18771905191912,1.6336869021925542,"[1.0, 17.0]",8.0,0.77465,7,4,10,6,3
Lance Bush,3,85.66666666666667,84,3.7859388972001824,83,90,7,82.0,3.6666666666666665,3,0,85.66666666666667,8,13,85.17519149010927,9,0.8181068531783316,84.91501676752634,9,"[83.0, 90.0]","[1.0, 13.0]",7.0,0.7748,84.91501676752634,1.6336869021925542,"[1.0, 18.0]",8.0,0.71975,8,4,10,6,4
Alex O'Connor,26,85.53846153846153,86.5,2.98302892015172,79,91,12,77.5,8.038461538461538,21,5,85.53846153846153,9,4,85.65417014646223,7,0.9749877157010504,85.43830821235585,7,"[84.42307692307692, 86.65384615384616]","[4.0, 11.0]",8.0,0.96715,85.43830821235585,0.6058112543956627,"[3.0, 11.0]",7.0,0.9741,9,8,9,1,1
Graham Oppy,10,84.8,85.0,1.9888578520235063,81,88,7,80.5,4.3,10,0,84.8,10,9,84.3085248234426,10,0.9374704709932836,84.59579706881055,10,"[83.6, 85.9]","[6.0, 12.0]",10.0,0.79985,84.59579706881055,0.9578626467842922,"[3.0, 14.0]",9.0,0.73575,10,10,10,0,0
