minimum,rank,speaker,appearances,mean_score
3,1,Joseph Schmid,3,88.33333333333333
3,2,Scott Clifton,3,88.0
3,3,Alex Malpass,6,87.16666666666667
3,4,Joe Folley,4,86.5
3,5,Matt Dillahunty,27,86.07407407407408
3,6,Bart Ehrman,11,86.0
3,7,Sean Carroll,3,86.0
3,8,Lance Bush,3,85.66666666666667
3,9,Alex O'Connor,26,85.53846153846153
3,10,Graham Oppy,10,84.8
3,11,Stephen Law,3,83.33333333333333
3,12,Daniel Dennett,6,83.16666666666667
3,13,Michael Ruse,3,83.0
3,14,Bernardo Kastrup,3,82.66666666666667
3,15,Michael Huemer,7,82.0
3,16,Christopher Hitchens,11,81.72727272727273
3,17,Michael Licona,5,81.4
3,18,Richard Dawkins,6,81.33333333333333
3,19,Michael Shermer,6,81.0
3,20,Sam Harris,6,81.0
3,21,Stephen Woodford,6,81.0
3,22,Ben Watkins,3,80.66666666666667
3,23,Josh Rasmussen,5,80.6
3,24,Richard Carrier,6,80.5
3,25,Lawrence Krauss,3,80.33333333333333
3,26,Robert Price,3,80.33333333333333
3,27,James Tour,4,80.25
3,28,William Lane Craig,24,79.5
3,29,Tom Jump,3,79.33333333333333
3,30,David Wood,4,79.0
3,31,Jonathan McLatchie,4,78.75
3,32,Richard Swinburne,3,78.66666666666667
3,33,Glen Scrivener,4,78.0
3,34,Ross Douthat,3,77.66666666666667
3,35,John Lennox,9,77.11111111111111
3,36,Trent Horn,6,76.83333333333333
3,37,Dinesh D'Souza,6,75.5
3,38,Michael Jones,10,75.1
3,39,Alister McGrath,3,75.0
3,40,Jordan Peterson,5,74.8
3,41,Frank Turek,7,74.14285714285714
3,42,Peter Atkins,4,73.0
5,1,Alex Malpass,6,87.16666666666667
5,2,Matt Dillahunty,27,86.07407407407408
5,3,Bart Ehrman,11,86.0
5,4,Alex O'Connor,26,85.53846153846153
5,5,Graham Oppy,10,84.8
5,6,Daniel Dennett,6,83.16666666666667
5,7,Michael Huemer,7,82.0
5,8,Christopher Hitchens,11,81.72727272727273
5,9,Michael Licona,5,81.4
5,10,Richard Dawkins,6,81.33333333333333
5,11,Michael Shermer,6,81.0
5,12,Sam Harris,6,81.0
5,13,Stephen Woodford,6,81.0
5,14,Josh Rasmussen,5,80.6
5,15,Richard Carrier,6,80.5
5,16,William Lane Craig,24,79.5
5,17,John Lennox,9,77.11111111111111
5,18,Trent Horn,6,76.83333333333333
5,19,Dinesh D'Souza,6,75.5
5,20,Michael Jones,10,75.1
5,21,Jordan Peterson,5,74.8
5,22,Frank Turek,7,74.14285714285714
10,1,Matt Dillahunty,27,86.07407407407408
10,2,Bart Ehrman,11,86.0
10,3,Alex O'Connor,26,85.53846153846153
10,4,Graham Oppy,10,84.8
10,5,Christopher Hitchens,11,81.72727272727273
10,6,William Lane Craig,24,79.5
10,7,Michael Jones,10,75.1
