number,debate_id,title,side_label,side,speaker,move_id,move_kind,importance,logicalCoherence,evidenceWarrant,responsiveness,relevanceBurden,precisionClarity,calibrationCharity,move_score,evidence_band,ledger_type
01,craig-oconnor-god-debate-2026,Alex O'Connor vs William Lane Craig: Does God Exist?,theist,pro,William Lane Craig,pro-resurrection-historical-inference,constructive,3,82,71,88,87,85,75,81,material warrant or verification step compressed,v4-closed-findings-adapter
01,craig-oconnor-god-debate-2026,Alex O'Connor vs William Lane Craig: Does God Exist?,theist,pro,William Lane Craig,pro-experiential-proper-basicality,constructive,2,82,65,80,86,95,85,80,assertion/anecdote/authority/speculation carries substantial weight,v4-closed-findings-adapter
01,craig-oconnor-god-debate-2026,Alex O'Connor vs William Lane Craig: Does God Exist?,non_theist,con,Alex O'Connor,con-big-bang-not-first-moment,reply,3,88,82,57,87,95,93,82,stronger support,v4-closed-findings-adapter
01,craig-oconnor-god-debate-2026,Alex O'Connor vs William Lane Craig: Does God Exist?,non_theist,con,Alex O'Connor,con-infinite-units-and-presentism,reply,3,78,71,56,87,75,90,74,material warrant or verification step compressed,v4-closed-findings-adapter
01,craig-oconnor-god-debate-2026,Alex O'Connor vs William Lane Craig: Does God Exist?,theist,pro,William Lane Craig,pro-successive-actual-infinity,reply,3,78,69,99,87,75,79,82,assertion/anecdote/authority/speculation carries substantial weight,v4-closed-findings-adapter
01,craig-oconnor-god-debate-2026,Alex O'Connor vs William Lane Craig: Does God Exist?,theist,pro,William Lane Craig,pro-low-entropy-cosmic-beginning,constructive,3,79,71,84,87,75,73,79,material warrant or verification step compressed,v4-closed-findings-adapter
01,craig-oconnor-god-debate-2026,Alex O'Connor vs William Lane Craig: Does God Exist?,non_theist,con,Alex O'Connor,con-animal-suffering-theodicy-gap,reply,3,90,82,58,87,95,92,82,stronger support,v4-closed-findings-adapter
01,craig-oconnor-god-debate-2026,Alex O'Connor vs William Lane Craig: Does God Exist?,theist,pro,William Lane Craig,pro-evolutionary-salvation-theodicy,reply,3,74,57,97,87,75,80,78,assertion/anecdote/authority/speculation carries substantial weight,v4-closed-findings-adapter
01,craig-oconnor-god-debate-2026,Alex O'Connor vs William Lane Craig: Does God Exist?,theist,pro,William Lane Craig,pro-limits-on-gratuitous-evil-inference,reply,3,68,62,96,69,95,67,75,assertion/anecdote/authority/speculation carries substantial weight,v4-closed-findings-adapter
01,craig-oconnor-god-debate-2026,Alex O'Connor vs William Lane Craig: Does God Exist?,non_theist,con,Alex O'Connor,con-nonsentient-animal-alternative,reply,3,79,64,98,69,75,75,78,assertion/anecdote/authority/speculation carries substantial weight,v4-closed-findings-adapter
01,craig-oconnor-god-debate-2026,Alex O'Connor vs William Lane Craig: Does God Exist?,theist,pro,William Lane Craig,pro-animal-pain-severity-distinction,reply,2,74,58,73,86,75,60,71,assertion/anecdote/authority/speculation carries substantial weight,v4-closed-findings-adapter
01,craig-oconnor-god-debate-2026,Alex O'Connor vs William Lane Craig: Does God Exist?,non_theist,con,Alex O'Connor,con-moral-intuition-consistency,reply,2,78,74,98,69,75,74,79,material warrant or verification step compressed,v4-closed-findings-adapter
01,craig-oconnor-god-debate-2026,Alex O'Connor vs William Lane Craig: Does God Exist?,theist,pro,William Lane Craig,pro-fine-tuning-intelligent-selection,reply,3,72,61,57,87,75,61,68,assertion/anecdote/authority/speculation carries substantial weight,v4-closed-findings-adapter
01,craig-oconnor-god-debate-2026,Alex O'Connor vs William Lane Craig: Does God Exist?,non_theist,con,Alex O'Connor,con-hostile-fine-tuning-meta-conditions,reply,2,80,68,98,87,75,90,83,assertion/anecdote/authority/speculation carries substantial weight,v4-closed-findings-adapter
01,craig-oconnor-god-debate-2026,Alex O'Connor vs William Lane Craig: Does God Exist?,theist,pro,William Lane Craig,pro-independent-theism-defeats-gratuitousness,reply,3,68,54,71,86,75,56,68,assertion/anecdote/authority/speculation carries substantial weight,v4-closed-findings-adapter
01,craig-oconnor-god-debate-2026,Alex O'Connor vs William Lane Craig: Does God Exist?,non_theist,con,Alex O'Connor,con-evil-against-loving-god,reply,3,92,81,99,100,95,94,93,stronger support,v4-closed-findings-adapter
01,craig-oconnor-god-debate-2026,Alex O'Connor vs William Lane Craig: Does God Exist?,non_theist,con,Alex O'Connor,con-suffering-christian-specificity,reply,3,89,78,99,87,95,93,90,material warrant or verification step compressed,v4-closed-findings-adapter
01,craig-oconnor-god-debate-2026,Alex O'Connor vs William Lane Craig: Does God Exist?,non_theist,con,Alex O'Connor,con-arbitrary-suffering-distribution,reply,3,87,75,98,87,95,92,88,material warrant or verification step compressed,v4-closed-findings-adapter
02,craig-hitchens-god-existence-2009,William Lane Craig vs Christopher Hitchens: Does God Exist?,theist,pro,William Lane Craig,pro-burden-no-atheist-disproof,constructive,2,73,55,69,86,75,68,70,assertion/anecdote/authority/speculation carries substantial weight,v4-closed-findings-adapter
02,craig-hitchens-god-existence-2009,William Lane Craig vs Christopher Hitchens: Does God Exist?,theist,pro,William Lane Craig,pro-cosmology-personal-cause,constructive,3,78,73,87,87,85,75,81,material warrant or verification step compressed,v4-closed-findings-adapter
02,craig-hitchens-god-existence-2009,William Lane Craig vs Christopher Hitchens: Does God Exist?,theist,pro,William Lane Craig,pro-finetuning-design,constructive,3,81,70,87,87,95,72,81,material warrant or verification step compressed,v4-closed-findings-adapter
02,craig-hitchens-god-existence-2009,William Lane Craig vs Christopher Hitchens: Does God Exist?,theist,pro,William Lane Craig,pro-objective-morality-god,constructive,3,68,64,84,87,85,68,75,assertion/anecdote/authority/speculation carries substantial weight,v4-closed-findings-adapter
02,craig-hitchens-god-existence-2009,William Lane Craig vs Christopher Hitchens: Does God Exist?,theist,pro,William Lane Craig,pro-resurrection-historical-inference,constructive,3,76,63,88,87,85,61,77,assertion/anecdote/authority/speculation carries substantial weight,v4-closed-findings-adapter
02,craig-hitchens-god-existence-2009,William Lane Craig vs Christopher Hitchens: Does God Exist?,theist,pro,William Lane Craig,pro-immediate-experience-basic-belief,constructive,2,81,68,81,69,95,75,77,assertion/anecdote/authority/speculation carries substantial weight,v4-closed-findings-adapter
02,craig-hitchens-god-existence-2009,William Lane Craig vs Christopher Hitchens: Does God Exist?,non_theist,con,Christopher Hitchens,con-evolutionary-waste-against-design,reply,3,81,74,72,87,85,79,79,material warrant or verification step compressed,v4-closed-findings-adapter
