number,theist_count,theist_moves,theist_share,non_theist_count,non_theist_moves,non_theist_share,difference
01,3,9,0.3333333333333333,0,9,0.0,0.3333333333333333
02,1,9,0.1111111111111111,0,12,0.0,0.1111111111111111
03,4,9,0.4444444444444444,0,10,0.0,0.4444444444444444
05,10,10,1.0,0,10,0.0,1.0
06,3,10,0.3,0,9,0.0,0.3
07,1,10,0.1,0,10,0.0,0.1
08,4,10,0.4,0,10,0.0,0.4
09,3,10,0.3,0,10,0.0,0.3
10,3,10,0.3,2,10,0.2,0.09999999999999998
11,4,9,0.4444444444444444,0,8,0.0,0.4444444444444444
12,1,8,0.125,3,10,0.3,-0.175
13,1,5,0.2,0,7,0.0,0.2
14,7,9,0.7777777777777778,5,9,0.5555555555555556,0.2222222222222222
15,4,11,0.36363636363636365,2,12,0.16666666666666666,0.196969696969697
16,6,9,0.6666666666666666,2,8,0.25,0.41666666666666663
17,0,10,0.0,0,10,0.0,0.0
20,4,9,0.4444444444444444,2,12,0.16666666666666666,0.2777777777777778
21,3,10,0.3,0,9,0.0,0.3
22,5,9,0.5555555555555556,3,10,0.3,0.2555555555555556
24,1,10,0.1,3,10,0.3,-0.19999999999999998
25,0,10,0.0,1,10,0.1,-0.1
26,4,9,0.4444444444444444,1,10,0.1,0.34444444444444444
27,5,10,0.5,0,9,0.0,0.5
28,8,12,0.6666666666666666,1,12,0.08333333333333333,0.5833333333333333
29,4,10,0.4,1,9,0.1111111111111111,0.2888888888888889
30,7,11,0.6363636363636364,0,12,0.0,0.6363636363636364
31,0,8,0.0,0,6,0.0,0.0
33,0,10,0.0,0,10,0.0,0.0
36,0,10,0.0,0,9,0.0,0.0
37,3,9,0.3333333333333333,0,9,0.0,0.3333333333333333
39,0,12,0.0,0,11,0.0,0.0
42,0,8,0.0,0,7,0.0,0.0
43,4,9,0.4444444444444444,0,10,0.0,0.4444444444444444
46,6,9,0.6666666666666666,0,9,0.0,0.6666666666666666
47,3,10,0.3,6,10,0.6,-0.3
48,2,7,0.2857142857142857,0,8,0.0,0.2857142857142857
49,3,12,0.25,0,12,0.0,0.25
50,4,10,0.4,0,9,0.0,0.4
51,2,10,0.2,5,10,0.5,-0.3
52,2,11,0.18181818181818182,1,12,0.08333333333333333,0.0984848484848485
53,3,10,0.3,0,10,0.0,0.3
54,6,10,0.6,1,10,0.1,0.5
55,2,8,0.25,0,9,0.0,0.25
57,4,10,0.4,0,10,0.0,0.4
58,2,9,0.2222222222222222,1,10,0.1,0.1222222222222222
59,7,10,0.7,0,10,0.0,0.7
60,1,10,0.1,0,10,0.0,0.1
61,5,10,0.5,0,10,0.0,0.5
62,4,10,0.4,0,10,0.0,0.4
63,7,12,0.5833333333333334,0,10,0.0,0.5833333333333334
64,1,8,0.125,0,9,0.0,0.125
65,3,7,0.42857142857142855,1,9,0.1111111111111111,0.31746031746031744
66,0,8,0.0,0,10,0.0,0.0
67,6,10,0.6,0,10,0.0,0.6
68,5,6,0.8333333333333334,0,6,0.0,0.8333333333333334
69,3,12,0.25,1,12,0.08333333333333333,0.16666666666666669
70,0,8,0.0,0,10,0.0,0.0
72,5,10,0.5,0,8,0.0,0.5
74,0,10,0.0,0,10,0.0,0.0
