number,debate_id,title,theist_moves,non_theist_moves,theist_tagged_moves,non_theist_tagged_moves,theist_insulation_moves,non_theist_insulation_moves
50,knechtle-dillahunty-christianity-true-2023,Cliffe Knechtle vs Matt Dillahunty: Is Christianity True?,10,9,2,0,1,0
181,habermas-flew-did-jesus-rise-dead-2000,Gary Habermas vs Antony Flew: Did Jesus Rise from the Dead?,11,9,0,1,0,0
59,bollore-halper-god-science-evidence-2026,Michel-Yves Bollore vs Phil Halper: Does Science Point to God?,10,10,4,0,3,0
20,hitchens-hitchens-iraq-god-2008,"Christopher Hitchens vs Peter Hitchens: Iraq, God, and Moral Authority",9,12,3,1,0,0
179,craig-ehrman-historical-evidence-resurrection-2006,William Lane Craig vs Bart Ehrman: Is There Historical Evidence for the Resurrection?,10,10,0,1,0,0
207,peterson-dawkins-memes-archetypes-truth-2024,"Memes, Archetypes, and Religious Truth: Jordan Peterson vs. Richard Dawkins (2024)",12,12,3,2,0,0
204,singer-dsouza-morality-without-god-2008,Can There Be Morality Without God? Dinesh D'Souza vs. Peter Singer (2008),14,15,6,0,1,0
220,hirsi-ali-oconnor-christian-conversion-2024,Does Christian Conversion Establish Truth? Ayaan Hirsi Ali vs. Alex O'Connor (2024),22,15,11,2,5,1
216,harris-wolpe-religion-science-2007,"Religion, Science, and Meaning: Sam Harris vs. David Wolpe (2007)",14,14,4,0,1,0
140,rhodes-dillahunty-evidence-god-2021,Kenny Rhodes vs Matt Dillahunty: Is There Evidence for God?,10,10,1,1,0,0
128,craig-law-evil-god-challenge-2011,William Lane Craig vs Stephen Law: Does God Exist?,10,8,2,2,1,0
92,craig-malpass-universe-begin-exist-2020,William Lane Craig vs Alex Malpass: Did the Universe Begin to Exist?,10,10,2,0,0,0
209,oconnor-ruegger-divine-hiddenness-loving-god-2022,Divine Hiddenness and a Loving God: Alex O'Connor vs. Lukas Ruegger (2022),13,16,5,1,2,1
75,rasmussen-clifton-contingency-argument-2019,Josh Rasmussen vs Scott Clifton: Is the Contingency Argument Persuasive?,10,9,0,1,0,0
162,craig-kagan-god-morality-2009,William Lane Craig vs Shelly Kagan: Is God Necessary for Morality?,8,12,1,0,0,0
202,dawkins-lennox-god-delusion-2007,Is Belief in God a Delusion? Richard Dawkins vs. John Lennox (2007),21,18,3,2,0,0
26,turek-hitchens-reality-theism-atheism-2011,Frank Turek vs Christopher Hitchens: What Best Explains Reality?,9,10,1,1,0,0
205,horn-watkins-god-existence-2021,Does God Exist? Trent Horn vs. Ben Watkins (2021),14,12,5,2,1,0
87,christopoulos-dillahunty-resurrection-historical-event-2024,Than Christopoulos vs Matt Dillahunty: Is the Resurrection a Historical Event?,9,10,2,0,0,0
142,comfort-dillahunty-gospel-atonement-2020,Ray Comfort vs Matt Dillahunty: Does the Gospel Make Sense?,10,10,4,0,3,0
